ts,frame_id,pred_class,pred_conf,distance_m,proposed_action,final_action,reason,safety_json,human_label
24.764907836914062,451,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.821051836013794,452,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.868996381759644,453,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.922618865966797,454,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.973273992538452,455,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.027201890945435,456,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.08675980567932,457,demo,0.9,0.51525,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.136447191238403,458,demo,0.9,0.51525,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.190950632095337,459,demo,0.9,0.51525,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.24303936958313,460,demo,0.9,0.51525,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.29541802406311,461,demo,0.9,0.51525,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.350579261779785,462,demo,0.9,0.51575,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.404325485229492,463,demo,0.9,0.51575,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.45507550239563,464,demo,0.9,0.51575,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.506325006484985,465,demo,0.9,0.51575,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.56034779548645,466,demo,0.9,0.51575,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.61590075492859,467,demo,0.9,0.5155,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.669318437576294,468,demo,0.9,0.5155,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.723100185394287,469,demo,0.9,0.5155,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.773688316345215,470,demo,0.9,0.5155,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.83142375946045,471,demo,0.9,0.5155,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.883991479873657,472,demo,0.9,0.51425,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.933538675308228,473,demo,0.9,0.51425,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
25.98956274986267,474,demo,0.9,0.51425,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.044047594070435,475,demo,0.9,0.51425,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.094117403030396,476,demo,0.9,0.51425,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.14968228340149,477,demo,0.9,0.515,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.20193910598755,478,demo,0.9,0.515,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.255772590637207,479,demo,0.9,0.515,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.3118417263031,480,demo,0.9,0.515,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.36126446723938,481,demo,0.9,0.515,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.418094158172607,482,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.47084617614746,483,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.519365549087524,484,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.572450160980225,485,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.62995457649231,486,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.679844856262207,487,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.7359881401062,488,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.787738800048828,489,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.83979320526123,490,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.894933462142944,491,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
26.95086121559143,492,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.001112699508667,493,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.060506105422974,494,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.109870433807373,495,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.16235899925232,496,demo,0.9,0.51475,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.21605634689331,497,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.269792556762695,498,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.32228994369507,499,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.374346494674683,500,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.431881427764893,501,demo,0.9,0.5155,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.481468439102173,502,demo,0.9,0.51525,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.537541151046753,503,demo,0.9,0.51525,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.58759593963623,504,demo,0.9,0.51525,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.642927408218384,505,demo,0.9,0.51525,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.6959490776062,506,demo,0.9,0.51525,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.748162031173706,507,demo,0.9,0.51525,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.8029465675354,508,demo,0.9,0.51525,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
27.856492519378662,509,demo,0.9,0.51525,SCENARIO_HOME,SCENARIO_HOME,Ghost muted safety | Scenario keyframe=HOME | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
